Id,Start time,Completion time,I love,Age Band,Loving Marmite,DMA motivation,Optimistic about future,Favourite movie,Today I am feeling,Way to relax,Hours of sleep,Number of sweets,Duration
1,2025-02-24 13:48:45,2025-02-24 13:49:48,Dog,18 to 24,Don't know what it is,Just curious,Strongly Agree,Star Wars (1977),Happy,Long walk,0.6711877185161883,9.0,0 days 00:01:03
2,2025-02-24 13:48:47,2025-02-24 13:50:02,Dog,18 to 24,Yes,Improve job opportunities,Strongly Agree,"Hi, Mom",Sad,Long walk,0.6711877185161883,10.0,0 days 00:01:15
3,2025-02-24 13:48:44,2025-02-24 13:50:06,Cat,25 to 30,Don't know what it is,Relevant to my research,Neutral,Star Wars (1977),Tired,Reading a book,-0.38353583915210704,101.0,0 days 00:01:22
4,2025-02-24 13:48:47,2025-02-24 13:50:07,Dog,18 to 24,Yes,Increase knowledge of subject area,Strongly Agree,Enter the Dragon,Happy,Long walk,1.7259112761844837,0.0,0 days 00:01:20
5,2025-02-24 13:48:52,2025-02-24 13:50:13,Cat,25 to 30,Don't know what it is,Improve job opportunities,Strongly Agree,None of the above,Happy,Long walk,-1.96562117565455,300.0,0 days 00:01:21
6,2025-02-24 13:48:48,2025-02-24 13:50:16,Dog,18 to 24,Yes,Improve job opportunities,Agree,Toy Story,Happy,Long walk,-0.38353583915210704,59.851351351351354,0 days 00:01:28
7,2025-02-24 13:48:56,2025-02-24 13:50:18,Both,18 to 24,Don't know what it is,Improve job opportunities,Strongly Agree,None of the above,Happy,Bath and Bed,0.6711877185161883,59.851351351351354,0 days 00:01:22
8,2025-02-24 13:48:53,2025-02-24 13:50:18,Both,18 to 24,No,Relevant to my research,Agree,None of the above,Happy,Gaming,-1.4382593968204025,50.0,0 days 00:01:25
9,2025-02-24 13:48:44,2025-02-24 13:50:21,Both,18 to 24,Don't know what it is,Improve job opportunities,Agree,Toy Story,Tired,Cooking,1.7259112761844837,100.0,0 days 00:01:37
10,2025-02-24 13:48:45,2025-02-24 13:50:22,Both,18 to 24,No,Increase knowledge of subject area,Strongly Agree,Star Wars (1977),Happy,Bath and Bed,0.6711877185161883,120.0,0 days 00:01:37
11,2025-02-24 13:48:43,2025-02-24 13:50:23,Neither,18 to 24,Don't know what it is,Improve job opportunities,Neutral,The Shawshank Redemption,Happy,Gym workout,0.6711877185161883,300.0,0 days 00:01:40
12,2025-02-24 13:48:49,2025-02-24 13:50:25,Cat,18 to 24,Don't know what it is,Increase knowledge of subject area,Neutral,Toy Story,Happy,Long walk,-0.38353583915210704,100.0,0 days 00:01:36
13,2025-02-24 13:48:44,2025-02-24 13:50:25,Both,18 to 24,Never tried it,Increase knowledge of subject area,Strongly Agree,None of the above,Happy,Gym workout,-0.38353583915210704,200.0,0 days 00:01:41
14,2025-02-24 13:49:21,2025-02-24 13:50:29,Cat,18 to 24,Never tried it,Increase knowledge of subject area,Strongly Agree,The Shawshank Redemption,Happy,Gaming,-0.38353583915210704,10.0,0 days 00:01:08
15,2025-02-24 13:48:51,2025-02-24 13:50:30,Both,25 to 30,Don't know what it is,Improve job opportunities,Strongly Agree,None of the above,Happy,Gym workout,0.6711877185161883,5.0,0 days 00:01:39
